nomem_encr,cv08a043,cv09b043,cv08a030,cv09b030,income,government,eco,gov,cv09b038,cv08a038,cv09b039,cv08a039,cv09b040,cv08a040,cv09b041,cv08a041,cv09b042,cv08a042,cv09b044,cv08a044,cv09b045,cv08a045,cv09b046,cv08a046
865130,3,6,3,5,NA,NA,3,2,5,4,8,3,8,2,8,3,7,3,6,3,7,4,7,4
865170,6,7,4,7,5,0,1,3,7,3,7,5,6,4,6,4,7,4,7,6,7,5,6,4
865182,6,4,5,5,1,0,-2,0,4,7,8,8,5,7,5,7,8,9,4,7,4,6,2,6
865258,5,4,5,6,6,0,-1,1,4,5,6,5,6,5,6,6,8,7,7,6,8,7,6,5
865286,6,5,6,5,NA,NA,-1,-1,5,7,5,7,6,7,6,7,5,7,5,6,6,7,5,7
865301,8,6,6,8,1,NA,-2,2,6,8,9,9,6,8,7,8,9,9,9,9,7,9,7,3
865322,7,7,5,6,1,1,0,1,6,7,7,5,7,6,7,7,7,7,7,7,8,8,8,6
865371,1,6,0,3,1,0,5,3,4,5,4,5,4,5,6,5,6,5,4,5,6,5,4,5
865393,8,4,5,6,3,1,-4,1,4,4,NA,5,7,6,8,7,8,7,7,7,8,7,7,NA
865411,6,4,5,4,5,1,-2,-1,3,6,1,4,7,6,7,6,7,7,7,7,8,7,7,6
865429,5,3,5,5,NA,NA,-2,0,6,6,5,NA,5,6,5,8,NA,6,5,6,5,6,5,6
865447,8,8,6,6,5,0,0,0,4,4,7,7,7,7,8,7,8,7,8,7,8,8,8,8
865475,5,9,6,6,2,0,4,0,3,5,10,10,8,7,7,7,10,10,9,7,7,4,6,5
865496,8,6,5,7,7,0,-2,2,7,5,7,8,7,7,7,6,7,8,7,8,7,8,5,7
865542,7,7,7,7,4,1,0,0,6,7,8,NA,7,7,6,6,7,7,8,6,7,7,NA,7
865548,8,5,6,8,6,1,-3,2,5,5,7,7,7,8,6,8,7,8,6,9,7,8,6,6
865557,6,6,6,7,5,1,0,1,6,5,8,7,6,6,7,7,7,7,8,7,8,7,8,NA
865579,7,6,6,8,1,1,-1,2,7,7,8,7,7,7,7,7,8,8,8,7,7,8,5,6
865582,6,8,4,3,NA,NA,2,-1,3,3,8,7,8,8,8,8,9,6,8,7,8,8,8,7
865588,7,6,5,6,5,0,-1,1,6,6,6,5,6,7,6,7,7,7,7,6,7,7,7,7
865600,7,6,7,6,1,0,-1,-1,6,6,5,7,7,8,7,8,6,7,7,8,7,7,7,6
865625,7,8,8,8,1,1,1,0,5,6,8,8,8,8,8,8,8,7,8,8,8,8,5,6
865704,7,7,6,6,1,0,0,0,7,6,6,6,7,6,7,7,7,7,7,6,6,6,6,6
865713,6,5,4,6,NA,0,-1,2,5,4,5,3,6,5,5,5,6,5,5,6,7,6,7,6
865725,8,5,8,6,1,0,-3,-2,7,4,6,NA,3,3,4,4,8,9,7,9,8,9,4,4
865747,6,5,7,5,1,NA,-1,-2,5,8,5,NA,5,7,5,7,5,5,5,7,5,7,NA,0
865802,5,5,1,5,NA,0,0,4,5,0,5,5,4,7,3,5,5,7,5,5,5,5,5,5
865823,8,3,5,6,1,1,-5,1,4,2,5,5,7,7,6,7,8,9,5,6,5,8,5,8
865869,9,7,5,7,6,0,-2,2,7,5,7,6,7,8,7,8,7,7,7,10,7,8,7,5
865878,7,8,5,7,NA,0,1,2,7,5,8,6,8,6,8,7,8,7,8,7,8,7,5,7
865890,7,5,4,5,NA,0,-2,1,5,7,7,7,7,7,6,7,6,7,5,7,7,7,6,7
865893,6,5,5,7,3,NA,-1,2,5,5,5,6,6,4,5,4,7,7,8,7,8,7,5,6
865896,6,3,5,5,1,0,-3,0,9,7,7,5,4,3,6,7,9,7,8,7,7,7,8,7
865902,7,7,7,6,1,NA,0,-1,6,8,7,8,5,6,7,8,7,6,NA,6,7,6,6,6
