nomem_encr,cv08a043,cv09b043,cv08a030,cv09b030,income,government,eco,gov,cv09b038,cv08a038,cv09b039,cv08a039,cv09b040,cv08a040,cv09b041,cv08a041,cv09b042,cv08a042,cv09b044,cv08a044,cv09b045,cv08a045,cv09b046,cv08a046
800042,5,3,5,5,NA,0,-2,0,7,6,6,6,4,5,4,4,6,6,6,5,7,6,6,6
800057,8,6,6,6,7,0,-2,0,8,8,7,8,7,7,7,7,7,9,6,8,8,8,8,8
800076,7,6,6,6,1,0,-1,0,5,5,6,7,6,7,7,8,7,7,NA,7,8,8,7,7
800119,6,6,5,7,1,NA,0,2,5,5,7,7,8,6,8,7,7,7,7,6,7,7,5,NA
800158,7,7,7,7,NA,0,0,0,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
800170,7,4,4,3,3,0,-3,-1,4,6,4,6,8,7,5,6,8,7,4,8,5,8,4,8
800186,7,5,7,7,4,1,-2,0,5,7,7,8,8,8,8,8,8,8,5,6,7,7,3,6
800201,7,7,6,5,4,0,0,-1,5,6,7,6,7,6,7,6,7,6,7,6,7,6,7,5
800204,4,1,3,1,4,0,-3,-2,1,4,1,3,2,4,2,4,3,5,2,3,2,3,2,0
800256,7,6,5,6,NA,NA,-1,1,4,3,5,4,5,4,5,4,7,5,7,6,6,5,6,6
800326,8,7,3,2,5,0,-1,-1,8,3,8,7,4,5,7,8,8,9,6,NA,8,5,7,NA
800360,7,6,7,7,5,1,-1,0,6,6,7,7,7,7,7,7,8,8,6,7,7,7,6,6
800372,6,6,7,5,1,NA,0,-2,5,6,5,5,5,4,5,6,5,6,4,6,6,6,4,6
800375,7,5,4,4,NA,0,-2,0,6,5,4,4,5,5,6,6,5,6,4,6,7,7,NA,5
800387,7,7,5,7,NA,0,0,2,7,7,6,5,7,6,7,7,7,8,7,7,7,7,7,7
800393,7,6,6,6,5,0,-1,0,6,6,7,7,7,7,7,7,6,7,6,7,7,7,7,6
800399,7,7,7,8,4,1,0,1,5,2,7,7,7,7,7,8,7,7,8,7,7,8,7,7
800424,4,1,2,1,4,NA,-3,-1,1,4,5,5,4,4,4,5,4,7,3,6,6,7,6,5
800430,8,8,7,6,NA,NA,0,-1,8,9,10,9,5,2,7,7,10,9,10,9,10,8,8,6
800442,5,5,5,5,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
800500,3,1,2,1,1,NA,-2,-1,1,2,2,3,2,2,0,1,2,4,1,1,2,4,1,3
800503,6,6,8,7,1,1,0,-1,4,6,6,5,8,6,9,7,9,9,8,8,8,8,5,6
800509,8,8,6,8,7,NA,0,2,7,6,8,8,7,6,6,7,8,8,8,8,8,8,7,8
800527,7,5,5,6,1,0,-2,1,6,4,5,6,7,7,7,7,7,7,6,5,6,7,6,5
800534,7,5,5,7,1,NA,-2,2,7,6,7,7,6,6,8,7,7,7,7,8,6,5,6,7
800537,7,4,5,5,NA,NA,-3,0,3,5,5,7,6,7,5,7,4,6,5,6,3,7,5,6
800546,5,5,3,3,1,0,0,0,3,4,4,4,5,4,5,5,4,6,5,5,5,6,6,5
800552,5,5,4,7,NA,0,0,3,2,2,7,4,6,5,6,5,7,6,6,6,5,6,3,4
800585,7,5,5,5,1,0,-2,0,5,6,5,6,5,4,5,6,6,7,5,6,5,6,8,6
800601,7,5,3,5,1,0,-2,2,3,5,6,6,5,6,6,6,7,7,6,7,7,8,4,5
800607,4,5,3,5,4,0,1,2,4,2,4,3,4,3,4,2,5,5,6,3,6,5,5,2
800637,7,6,6,6,1,0,-1,0,7,6,7,7,6,6,6,6,7,7,7,6,7,7,7,6
800659,7,7,7,8,4,1,0,1,6,6,8,8,7,7,8,7,8,7,7,7,7,7,NA,NA
800671,6,6,7,7,3,1,0,0,6,7,7,6,7,6,7,6,8,6,8,7,8,7,6,NA
800674,9,7,1,2,1,0,-2,1,6,6,7,9,6,6,4,8,6,7,7,8,8,10,7,6
800695,7,6,5,6,2,0,-1,1,5,5,6,5,6,6,7,7,7,7,7,6,6,8,NA,NA
800750,8,6,6,6,5,NA,-2,0,6,7,6,7,7,7,7,7,7,8,7,8,7,7,6,7
800759,7,5,5,4,3,0,-2,-1,5,5,6,5,5,5,4,7,5,6,4,6,7,7,5,NA
800790,5,5,5,4,5,1,0,-1,1,5,NA,7,7,8,7,8,NA,5,4,5,7,8,NA,8
800869,6,6,5,4,NA,NA,0,-1,6,5,6,5,8,6,8,6,8,6,8,6,8,6,NA,5
800894,6,6,6,6,1,NA,0,0,7,6,5,6,6,7,7,7,7,6,NA,5,6,5,5,2
800903,5,6,0,3,NA,0,1,3,2,6,6,5,7,6,4,5,6,6,4,5,5,6,5,8
800918,3,4,4,6,NA,NA,1,2,4,2,6,4,6,3,6,3,6,3,4,3,5,3,2,3
800994,8,5,5,5,NA,0,-3,0,2,0,5,5,6,8,4,8,5,8,5,6,6,6,3,1
801004,6,4,3,3,4,0,-2,0,3,2,5,5,5,5,5,4,6,6,4,6,6,6,5,4
801022,7,5,4,6,NA,0,-2,2,5,6,7,5,6,6,7,7,7,8,7,7,7,7,6,6
801055,7,3,5,5,NA,NA,-4,0,2,3,5,5,2,0,6,6,6,7,7,10,7,8,5,8
801065,7,7,6,7,NA,0,0,1,6,7,7,6,6,6,5,5,7,7,7,6,7,6,7,7
801068,7,6,6,6,NA,0,-1,0,6,6,7,7,7,8,7,8,6,7,6,7,7,8,6,7
801083,3,2,4,4,NA,0,-1,0,4,3,5,4,4,4,2,1,2,4,4,2,5,4,0,0
801141,7,5,7,7,2,1,-2,0,7,6,8,8,7,7,8,8,8,8,7,7,7,7,NA,NA
801144,5,5,3,4,4,0,0,1,5,5,2,2,7,7,6,6,7,5,5,5,5,5,5,5
801156,6,6,6,5,2,0,0,-1,6,6,6,7,6,7,6,7,6,7,6,7,7,7,NA,NA
801177,6,6,4,7,1,NA,0,3,7,4,6,3,6,4,6,5,7,5,7,7,7,7,7,7
801260,6,6,6,7,5,0,0,1,7,8,3,3,7,5,6,4,8,7,8,6,7,6,7,6
801287,7,7,6,7,NA,NA,0,1,7,7,6,6,6,6,6,7,6,7,7,7,7,8,7,7
801300,7,6,5,6,NA,0,-1,1,3,5,6,7,5,7,5,6,6,8,5,4,6,7,5,6
801373,6,6,5,5,1,NA,0,0,4,5,7,7,7,7,6,7,7,7,6,6,7,7,6,6
801412,6,5,3,5,5,NA,-1,2,5,3,6,7,6,6,6,6,6,6,6,6,8,7,3,5
801470,7,6,4,5,NA,0,-1,1,4,3,5,8,6,7,6,7,5,8,6,6,9,8,7,8
801498,6,7,6,6,NA,1,1,0,5,6,7,6,7,6,7,7,7,7,7,7,7,6,7,6
801556,7,6,7,7,2,0,-1,0,5,6,6,7,6,7,6,7,6,7,6,7,6,7,6,6
801574,7,5,4,5,NA,0,-2,1,5,7,6,7,6,6,6,7,5,6,5,7,6,7,3,3
801577,8,5,5,5,4,NA,-3,0,4,5,5,6,7,8,8,9,8,8,5,5,8,7,4,5
801589,7,6,7,8,1,0,-1,1,8,7,7,7,8,7,8,8,8,7,7,7,7,7,6,7
801593,7,7,6,7,4,1,0,1,6,6,7,7,7,6,7,7,7,7,7,7,7,7,6,6
801599,6,7,6,7,2,0,1,1,8,7,6,5,7,4,6,6,5,7,7,6,NA,5,6,6
801635,5,2,6,3,1,NA,-3,-3,1,3,3,4,5,6,4,5,5,5,2,5,6,5,6,3
801657,6,6,6,6,NA,1,0,0,6,6,7,6,6,7,7,7,7,7,6,7,7,7,6,5
801663,3,5,1,2,2,0,2,1,4,4,2,1,1,2,4,3,4,3,3,2,7,4,3,3
801666,6,6,4,4,1,0,0,0,6,6,6,5,6,4,7,5,8,6,8,7,6,6,6,6
801736,4,6,6,7,NA,1,2,1,6,5,6,3,7,4,7,4,7,5,8,6,6,4,4,4
801748,8,8,9,9,NA,1,0,0,9,7,8,9,7,9,7,9,8,10,9,10,8,9,8,7
801776,7,5,5,5,4,0,-2,0,7,7,7,8,7,7,6,7,6,7,6,6,7,8,6,7
801788,5,5,5,5,1,NA,0,0,6,6,4,4,7,5,6,5,7,7,5,3,7,7,2,5
801797,7,7,5,7,NA,NA,0,2,3,5,7,6,7,7,7,6,8,7,7,6,7,6,7,6
801815,8,7,7,2,1,0,-1,-5,1,7,8,7,6,5,8,8,8,8,5,6,8,9,4,5
801858,6,5,6,7,1,0,-1,1,5,NA,5,5,7,7,7,7,7,7,5,6,7,7,5,7
801861,6,4,5,4,7,0,-2,-1,5,6,5,6,4,5,4,6,5,6,5,6,7,7,NA,NA
801873,2,1,2,3,1,0,-1,1,1,2,1,2,5,2,5,2,1,2,1,2,1,5,1,0
801876,3,5,1,1,NA,0,2,0,5,1,5,2,5,3,7,3,7,3,5,1,7,3,7,3
801901,7,6,5,7,NA,NA,-1,2,7,6,9,8,8,7,8,7,8,8,8,8,8,7,8,8
801931,7,4,4,4,1,0,-3,0,5,7,5,8,7,8,7,8,8,8,6,7,8,8,4,7
801947,5,5,5,3,1,1,0,-2,3,5,6,7,7,7,4,7,4,5,4,5,6,7,6,5
801965,5,5,5,4,NA,NA,0,-1,4,5,5,5,5,5,7,5,5,5,5,5,5,5,4,5
801974,7,6,6,7,1,NA,-1,1,7,5,7,7,6,6,6,6,7,7,8,7,6,6,6,6
802032,7,6,7,6,3,0,-1,-1,8,7,7,6,7,8,7,8,7,8,7,7,7,8,7,8
802081,6,6,6,7,1,0,0,1,6,5,5,4,6,5,4,4,7,5,7,6,8,6,8,6
802090,7,5,6,5,4,1,-2,-1,6,8,5,5,6,7,4,7,5,6,5,6,8,8,6,7
802117,6,6,5,5,3,0,0,0,7,7,7,7,7,7,8,7,8,7,7,7,7,7,7,7
802142,8,7,3,6,4,0,-1,3,2,3,8,7,6,7,7,4,7,9,8,9,8,8,9,9
802151,7,6,5,6,NA,NA,-1,1,7,6,8,7,8,6,8,6,NA,6,8,7,8,7,8,6
802188,5,5,4,4,NA,0,0,0,3,4,5,4,5,5,6,7,6,NA,5,5,NA,6,1,1
802227,7,5,5,5,1,0,-2,0,5,5,5,6,5,7,5,7,5,7,5,6,5,7,5,5
802233,8,5,8,5,7,1,-3,-3,5,8,5,8,5,8,5,8,5,8,5,8,5,8,5,7
802236,7,3,7,7,1,1,-4,0,5,7,7,6,7,8,7,8,5,8,3,7,7,8,3,6
802264,7,7,6,5,1,NA,0,-1,5,6,6,7,2,7,7,7,7,7,6,7,7,7,6,7
802285,5,5,5,5,NA,0,0,0,4,5,5,5,6,2,6,3,7,6,6,8,6,6,5,6
802291,3,4,2,1,NA,0,1,-1,0,1,4,3,3,1,5,3,5,1,1,2,4,1,2,3
802322,5,0,4,6,1,NA,-5,2,7,6,6,7,6,8,6,6,7,6,7,6,7,7,7,7
802355,8,7,7,7,4,1,-1,0,6,7,7,NA,7,8,7,8,7,7,8,8,8,7,6,6
802392,7,7,5,6,1,1,0,1,6,6,NA,6,6,6,7,7,7,7,6,6,7,7,5,NA
802395,7,6,6,5,1,0,-1,-1,5,6,8,8,6,6,8,8,8,8,6,6,6,8,6,5
802398,7,7,7,6,NA,0,0,-1,6,7,8,7,7,6,7,6,8,7,7,6,8,7,7,5
802401,5,4,5,5,5,NA,-1,0,5,4,4,4,5,5,4,4,6,6,5,6,8,8,3,3
802462,5,6,4,6,4,0,1,2,6,5,7,6,7,6,7,6,7,6,7,5,7,6,7,5
802468,8,8,5,7,3,0,0,2,5,7,7,7,5,5,7,7,8,8,8,7,8,8,5,7
802471,6,7,4,7,4,0,1,3,5,6,6,5,6,3,6,3,7,6,7,6,7,8,0,0
802542,4,4,4,5,NA,0,0,1,4,3,6,6,5,NA,6,3,7,5,5,3,5,5,4,5
802551,9,5,4,7,5,NA,-4,3,5,8,7,7,7,8,6,8,7,9,5,7,6,9,4,NA
802636,7,3,5,3,1,NA,-4,-2,5,5,6,5,7,7,7,7,7,6,4,6,8,8,NA,6
802648,9,7,7,7,1,0,-2,0,5,8,7,7,7,8,7,9,9,10,7,9,7,9,7,8
802651,7,7,7,7,5,1,0,0,6,6,NA,7,NA,7,7,7,NA,7,6,6,7,8,5,5
802725,5,6,6,5,NA,0,1,-1,4,6,8,8,8,7,8,7,8,6,7,6,8,7,8,6
802804,7,7,7,6,NA,0,0,-1,5,5,8,8,8,6,8,6,9,8,8,8,7,8,6,7
802859,8,6,7,7,1,1,-2,0,6,7,7,7,6,6,6,6,6,7,6,7,7,8,6,6
802883,7,7,7,7,6,1,0,0,6,6,7,7,8,7,8,8,8,8,7,7,7,7,6,7
802908,8,6,8,7,1,1,-2,-1,7,7,5,6,6,7,6,7,7,8,8,8,8,9,7,8
802941,4,4,3,2,NA,0,0,-1,4,4,3,2,4,4,4,4,4,4,4,4,6,5,5,4
802981,6,8,3,3,NA,NA,2,0,1,8,9,8,8,8,7,6,7,7,7,6,8,8,8,8
802987,6,7,6,6,1,1,1,0,6,6,7,7,6,7,7,7,6,6,6,6,7,7,6,7
803018,5,5,6,6,NA,NA,0,0,5,6,8,5,6,5,6,4,5,6,6,4,5,5,5,6
803063,5,4,5,5,4,1,-1,0,3,3,4,7,4,7,5,8,5,8,4,5,4,7,4,2
803076,4,7,3,6,NA,NA,3,3,6,2,7,3,7,4,7,4,7,4,7,3,7,3,7,3
803085,7,6,6,5,NA,0,-1,-1,6,6,7,8,7,7,6,7,7,7,6,7,8,7,5,7
803088,7,7,7,7,NA,1,0,0,6,5,8,7,7,7,7,7,7,7,7,7,7,7,5,0
803106,6,6,7,7,1,0,0,0,6,7,6,5,7,6,6,7,6,7,6,7,7,7,6,6
803109,7,7,7,8,NA,1,0,1,5,7,5,7,7,7,7,8,7,8,7,8,7,7,6,7
803152,8,6,5,5,4,0,-2,0,9,9,6,7,8,8,8,8,9,9,7,7,8,7,7,7
803189,7,5,6,7,4,1,-2,1,6,5,6,6,6,7,6,6,7,7,7,6,7,7,6,6
803195,4,4,5,6,NA,0,0,1,4,1,5,5,5,4,4,3,5,3,5,4,7,5,7,6
803228,3,1,1,3,2,0,-2,2,4,2,5,8,1,3,3,8,5,NA,0,5,3,8,2,8
803237,8,7,7,8,1,1,-1,1,8,5,7,NA,7,6,7,7,7,7,7,7,7,8,7,NA
803262,4,3,2,6,NA,NA,-1,4,5,NA,5,7,4,8,5,9,4,6,4,4,5,9,4,NA
803268,7,8,7,8,5,1,1,1,6,5,8,8,8,7,8,7,8,8,7,7,8,8,7,7
803280,8,3,1,6,1,0,-5,5,4,5,5,7,5,5,7,7,7,9,3,5,5,9,5,7
803295,6,5,5,5,1,0,-1,0,4,7,4,5,6,6,6,6,6,7,6,6,7,6,NA,4
803302,6,6,7,6,NA,NA,0,-1,7,6,6,6,8,7,8,8,7,7,8,7,8,7,6,6
803320,5,5,5,6,NA,0,0,1,6,6,6,5,6,3,6,6,6,5,5,5,5,6,5,6
803366,6,4,6,5,3,1,-2,-1,5,5,5,7,5,7,4,6,5,6,4,5,5,6,5,6
803384,6,5,5,5,NA,0,-1,0,4,4,6,5,6,6,6,7,5,6,4,5,6,7,3,4
803408,4,5,4,4,NA,0,1,0,5,6,1,4,5,5,5,6,6,7,5,5,6,6,6,3
803414,6,4,4,4,1,NA,-2,0,6,6,5,6,6,7,6,8,5,8,4,7,7,8,5,6
803427,8,6,7,7,NA,0,-2,0,8,8,7,6,7,5,8,8,8,8,9,8,8,7,8,7
803445,7,6,7,6,3,1,-1,-1,6,6,6,7,6,7,6,7,6,7,6,7,7,7,7,7
803466,8,6,8,8,NA,1,-2,0,8,7,8,8,6,8,7,8,8,8,8,8,8,8,1,5
803469,8,7,4,3,NA,NA,-1,-1,3,3,8,8,5,1,7,5,7,8,7,8,8,8,7,8
803500,6,6,5,6,1,0,0,1,6,7,6,5,6,6,6,6,6,6,6,6,NA,6,NA,7
803506,7,6,7,7,4,NA,-1,0,7,7,7,7,7,6,6,6,7,7,8,7,8,8,8,8
803509,5,4,5,7,1,1,-1,2,6,5,7,5,6,6,6,6,NA,5,6,5,7,6,7,6
803515,8,6,7,8,4,1,-2,1,5,6,8,7,8,8,8,8,6,6,8,8,9,8,8,7
803564,6,1,5,6,6,0,-5,1,5,7,6,6,6,8,6,3,8,8,9,9,9,7,5,5
803576,4,4,3,3,NA,0,0,0,4,4,4,6,4,4,4,6,4,6,4,4,4,5,4,1
803579,6,5,6,4,NA,0,-1,-2,4,4,5,5,6,6,5,6,5,7,4,7,5,7,5,5
803582,5,4,4,4,NA,0,-1,0,3,2,4,5,5,6,5,6,5,5,4,5,6,5,2,2
803616,4,0,5,2,3,0,-4,-3,0,0,3,4,3,4,2,2,3,5,1,2,0,3,1,NA
803619,8,6,6,5,NA,0,-2,-1,3,6,5,6,4,5,3,7,6,7,5,7,5,8,5,7
803622,7,5,5,6,NA,0,-2,1,5,4,7,8,7,6,6,7,8,7,6,7,7,7,8,8
803689,5,6,5,7,NA,0,1,2,5,5,6,5,7,5,7,5,8,5,8,5,7,5,6,5
803698,7,6,6,6,1,NA,-1,0,6,7,6,7,6,7,6,7,6,7,6,6,6,7,6,6
803717,4,5,4,5,2,0,1,1,5,3,5,4,5,4,5,4,5,5,5,4,5,4,5,4
803723,6,7,5,7,NA,0,1,2,7,6,7,5,7,7,7,8,7,7,7,7,7,8,7,7
803762,7,5,5,5,NA,1,-2,0,7,6,7,7,7,7,7,8,7,8,6,7,7,7,7,7
803775,3,1,0,0,4,0,-2,0,0,3,0,4,3,3,3,3,3,3,1,3,4,3,4,1
803787,5,4,5,2,1,NA,-1,-3,4,6,6,6,5,5,6,5,4,6,4,8,5,7,5,7
803799,7,6,4,4,NA,0,-1,0,5,6,7,6,6,6,4,5,7,7,7,7,7,7,6,7
803802,3,4,3,3,1,0,1,0,3,2,6,4,6,5,6,4,4,3,4,3,6,5,2,NA
803805,8,8,8,8,1,1,0,0,9,5,8,7,8,7,9,9,9,8,6,6,9,8,7,5
803811,8,6,7,7,5,1,-2,0,4,7,8,7,7,7,7,8,7,7,8,8,7,8,NA,NA
803814,7,6,6,7,NA,1,-1,1,6,6,8,7,8,7,8,7,7,7,6,7,6,8,4,6
803829,0,1,0,0,1,0,1,0,0,0,5,2,8,6,0,4,7,5,0,0,4,5,2,1
803839,9,8,2,4,6,0,-1,2,2,5,4,6,6,5,8,7,7,8,8,4,7,5,3,5
803860,6,6,7,6,1,NA,0,-1,5,6,7,7,6,5,7,5,6,NA,7,6,7,7,7,6
803875,7,5,3,5,1,0,-2,2,5,5,6,7,6,NA,6,7,5,NA,5,NA,5,7,5,NA
803906,6,5,3,4,1,0,-1,1,4,8,3,3,7,6,7,8,7,8,5,5,6,8,4,2
803924,6,4,4,4,1,NA,-2,0,3,4,6,8,5,6,5,6,5,7,2,5,5,6,4,5
803952,7,4,4,3,1,NA,-3,-1,7,7,4,6,5,7,7,7,7,7,6,6,7,8,7,7
803961,6,5,6,6,1,1,-1,0,5,3,6,6,6,6,6,6,6,NA,6,6,6,6,6,NA
803976,6,6,6,6,4,NA,0,0,5,6,6,6,5,5,5,5,7,6,6,5,6,6,4,2
804031,5,7,6,6,6,1,2,0,7,7,5,6,7,6,7,7,7,7,7,6,7,7,6,6
804040,7,4,5,5,4,1,-3,0,6,6,5,6,7,6,6,7,7,7,5,7,5,8,3,3
804046,6,7,5,6,NA,NA,1,1,6,6,NA,7,7,7,7,7,7,6,7,6,7,7,7,7
804061,6,6,6,5,NA,0,0,-1,6,6,5,5,6,6,6,6,7,6,6,6,7,5,7,6
804067,7,5,6,7,1,1,-2,1,6,5,6,5,6,6,7,7,7,7,6,6,7,6,7,6
804074,4,4,5,4,5,0,0,-1,0,0,9,7,6,5,5,4,4,5,5,3,8,7,7,5
804077,7,7,7,7,NA,0,0,0,5,5,6,6,8,7,7,5,7,8,6,7,6,7,5,6
804080,7,7,5,7,NA,1,0,2,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7
804101,6,6,7,6,NA,0,0,-1,4,5,7,7,6,7,6,6,7,8,7,8,7,7,7,NA
804116,7,7,6,7,4,NA,0,1,8,7,7,6,7,6,7,6,7,6,8,7,8,7,8,7
804168,6,7,5,7,3,NA,1,2,5,4,7,4,7,6,7,6,7,6,7,6,7,6,1,NA
804171,7,7,5,5,3,1,0,0,5,5,7,6,6,6,8,6,7,7,7,7,4,6,4,6
804187,5,7,5,7,1,NA,2,2,5,6,6,5,7,4,7,4,7,5,8,6,7,5,7,6
804196,8,7,6,7,7,1,-1,1,5,4,8,8,8,8,8,8,8,8,8,9,8,8,8,8
804199,6,7,6,7,4,1,1,1,6,5,7,6,7,6,6,5,6,NA,8,7,7,7,2,NA
804220,7,7,5,5,NA,NA,0,0,8,7,8,6,5,5,3,5,7,8,8,5,7,6,7,7
804251,8,7,6,6,1,0,-1,0,5,5,5,5,5,7,4,7,7,7,7,8,8,6,NA,NA
804281,5,5,2,1,1,0,0,-1,1,0,5,4,5,4,5,4,5,4,5,5,5,5,5,5
804296,7,3,6,6,1,0,-4,0,7,8,NA,7,6,4,8,9,NA,8,7,6,8,8,8,8
804306,7,6,7,6,1,0,-1,-1,7,7,7,8,6,7,6,7,7,6,6,7,7,7,6,6
804336,5,6,3,3,NA,1,1,0,3,3,5,4,6,6,6,6,6,6,3,4,6,6,6,6
804354,9,4,5,5,3,0,-5,0,7,7,8,6,8,8,8,9,8,9,5,5,8,9,8,9
804394,6,6,7,7,1,NA,0,0,5,4,8,7,6,6,7,6,6,6,7,7,6,7,4,5
804431,5,5,4,2,NA,0,0,-2,5,5,6,6,7,6,7,8,7,NA,6,6,7,6,5,NA
804440,5,3,5,3,NA,0,-2,-2,2,5,8,8,7,5,5,6,5,7,4,5,5,6,NA,5
804455,8,7,6,7,NA,1,-1,1,5,7,6,6,7,6,7,7,8,7,8,8,8,7,6,6
804470,5,7,4,3,NA,0,2,-1,1,2,0,2,6,5,7,5,4,5,8,5,7,8,4,5
804479,8,6,6,7,5,0,-2,1,6,5,7,8,7,7,8,8,8,7,7,6,8,7,8,4
804489,0,3,1,4,NA,0,3,3,1,0,4,1,6,3,4,2,3,0,4,0,5,3,4,0
804513,4,5,2,4,3,0,1,2,3,1,8,6,5,4,5,4,5,4,5,4,6,7,6,6
804516,6,6,5,6,4,0,0,1,5,6,6,5,8,6,7,6,7,6,7,6,6,7,6,6
804556,8,7,7,8,3,1,-1,1,5,6,7,7,6,8,7,7,8,8,7,7,8,7,8,7
804562,8,7,7,7,1,NA,-1,0,6,6,NA,7,8,8,7,8,NA,7,7,6,7,8,6,7
804565,5,4,5,5,NA,0,-1,0,4,5,6,6,5,7,5,7,6,7,4,5,6,6,6,6
804626,8,9,9,9,3,1,1,0,5,6,8,8,9,8,8,8,9,7,9,8,9,8,5,6
804660,7,7,7,7,1,1,0,0,3,5,7,5,7,6,7,7,6,7,6,8,7,7,7,7
804687,6,7,5,6,NA,0,1,1,8,7,8,7,7,7,8,5,8,7,5,8,7,8,7,8
804690,6,4,5,5,6,0,-2,0,5,6,4,3,6,6,6,6,6,6,5,4,6,6,6,6
804721,7,6,7,6,NA,1,-1,-1,6,6,7,8,6,6,8,7,8,8,7,7,7,8,7,7
804779,6,7,6,5,NA,NA,1,-1,7,6,5,NA,5,NA,5,7,8,NA,7,NA,6,7,6,7
804806,6,5,4,6,1,1,-1,2,4,7,5,6,5,6,7,7,7,8,5,6,8,8,6,7
804861,7,6,4,5,5,0,-1,1,5,6,5,6,8,8,8,8,7,8,8,8,8,8,7,6
804949,6,6,5,7,6,0,0,2,6,6,7,4,7,6,8,7,8,7,8,7,8,7,8,7
804953,7,8,8,8,NA,0,1,0,5,3,8,7,7,5,8,7,NA,7,8,7,8,8,5,NA
804968,7,6,6,6,NA,1,-1,0,6,6,6,6,6,6,6,6,6,6,6,6,8,8,6,8
805004,7,6,8,7,3,1,-1,-1,6,7,6,7,7,7,7,7,7,8,7,7,8,8,0,5
805007,8,6,8,8,NA,1,-2,0,9,8,8,8,8,8,7,8,9,8,7,7,8,8,8,8
805059,5,4,5,7,1,0,-1,2,6,6,8,8,6,6,7,5,7,6,6,6,7,7,7,6
805062,4,5,4,6,1,NA,1,2,2,6,8,6,1,6,3,5,7,6,7,9,7,8,7,7
805096,5,9,8,8,1,1,4,0,4,4,3,1,7,4,7,5,9,5,7,8,8,7,8,7
805169,7,6,5,7,NA,1,-1,2,5,5,8,6,7,7,7,8,8,8,4,5,7,7,6,9
805200,7,5,6,7,4,NA,-2,1,5,6,8,8,8,7,8,7,9,8,6,7,7,7,5,7
805224,7,6,6,6,5,NA,-1,0,5,5,7,6,7,7,7,7,6,8,7,7,7,7,6,6
805239,7,6,7,6,NA,0,-1,-1,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7
805242,7,7,6,8,NA,1,0,2,4,3,8,8,4,5,7,8,7,8,6,6,9,8,9,7
805252,7,7,6,6,NA,NA,0,0,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7
805255,5,6,4,6,3,0,1,2,4,2,6,4,7,5,7,6,6,5,5,4,7,8,7,5
805261,7,6,0,5,NA,0,-1,5,6,7,7,7,5,2,7,2,7,7,4,1,8,7,7,7
805264,8,7,6,5,NA,NA,-1,-1,4,4,6,9,7,9,7,9,8,8,8,8,9,7,7,6
805273,6,7,6,7,NA,0,1,1,6,6,7,7,8,7,8,8,7,NA,7,7,7,7,5,6
805276,5,5,5,6,NA,0,0,1,5,5,6,6,5,7,6,7,6,7,6,6,6,7,6,7
805288,8,7,7,7,1,1,-1,0,6,7,7,7,8,7,8,6,7,8,8,8,7,7,5,3
805303,8,6,8,8,1,1,-2,0,6,7,9,8,7,6,7,6,8,8,7,8,7,7,NA,6
805313,4,5,3,4,NA,0,1,1,4,6,5,4,5,4,6,6,5,5,5,4,6,5,6,4
805319,6,5,3,3,1,NA,-1,0,1,2,6,7,6,7,6,7,6,7,3,6,8,8,6,5
805364,1,2,0,0,NA,0,1,0,3,4,7,6,8,7,7,7,8,7,2,1,7,7,7,4
805380,6,7,5,6,NA,NA,1,1,4,6,6,5,6,5,7,5,NA,NA,6,6,7,7,7,8
805426,7,6,6,7,2,1,-1,1,4,6,6,7,6,6,6,8,7,7,6,6,7,8,3,NA
805453,6,6,2,6,1,0,0,4,8,6,7,6,8,8,8,8,8,8,7,5,8,8,7,6
805468,5,5,4,2,NA,0,0,-2,4,5,8,8,6,7,6,5,6,8,6,6,7,8,7,7
805505,5,7,5,6,NA,1,2,1,6,4,7,5,4,5,4,5,6,6,6,5,7,7,5,3
805554,3,2,2,3,4,0,-1,1,6,6,3,5,7,6,7,7,6,7,6,6,8,8,6,4
805569,7,5,6,5,1,0,-2,-1,5,6,5,4,5,4,5,4,5,7,5,7,5,6,5,6
805572,4,3,4,5,1,0,-1,1,4,5,4,4,5,6,6,7,7,6,6,4,6,6,NA,5
805575,4,6,5,5,1,NA,2,0,5,3,6,5,5,5,5,7,6,9,6,5,6,7,7,6
805581,6,6,6,7,1,0,0,1,7,6,7,7,7,7,7,7,6,6,6,6,8,7,7,7
805603,7,6,7,7,5,1,-1,0,5,6,7,7,7,7,8,8,8,7,6,8,6,7,6,6
805633,8,6,8,7,1,0,-2,-1,8,8,8,8,7,8,6,7,7,8,7,8,8,9,7,8
805642,8,6,8,8,1,0,-2,0,6,8,5,8,8,7,8,9,NA,6,8,9,9,9,7,7
805645,6,5,6,6,4,NA,-1,0,3,4,6,7,6,7,7,8,8,7,5,5,7,8,2,2
805657,7,5,6,6,5,0,-2,0,5,5,6,7,6,8,6,8,5,8,5,8,5,8,5,7
805685,7,5,6,8,5,0,-2,2,7,7,8,7,8,8,8,7,8,7,8,7,7,7,7,7
805703,8,7,8,7,1,1,-1,-1,7,6,8,9,8,9,7,8,7,8,7,8,7,9,7,6
805709,7,7,7,7,NA,1,0,0,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
